40111,B13,CITY TWRS
43681,B07,BT BATOK HOME FOR THE AGED
43551,B04,OPP LITTLE GUILIN
52089,B03,OPP BLK 195
08057,B04,DHOBY GHAUT STN
46499,B08,OPP BLK 402
28121,B03,OPP TRACK 18
64059,B34,BLK 355
47079,B15,OPP BRITISH AMERICAN TOBACCO
17259,B04,BLK 408
41071,B31,OPP NATL JC
83191,B08,BEF FRANKEL DR
93051,B11,AFT DUNBAR WALK
10229,B04,OPP HARVEST MANS
26079,B13,SUMPILES INVESTMENT
99101,B04,GOVT CHALETS
60121,B11,BOON KENG STN
60031,B05,BLK 66
26419,NIL,SEN HIN CHEMICAL
28369,B20,OPP JURONG LAKE
82061,B21,EUNOS STN
81051,B13,SIMS VILLE
20259,B02,C'WEALTH SEC SCH
78109,B12,DOWNTOWN EAST
64399,B03,BLK 512
16011,B17,OPP HAW PAR VILLA
23381,B01A,PLANT ENGRG
24089,B01,AFT GUL AVE
21771,B01,BEF NTUC LIFESTYLE CTR
29039,B03,OPP S'PORE WOOD IND
19061,B08,AYER RAJAH TELECOMS
67309,B02,OPP BLK 305 CP
28461,B07,BLK 347
68139,B10,BLK 532
01019,B04,BRAS BASAH CPLX
43679,B07,BLK 402
23189,B09,BEF FIRST LOKYANG RD
46139,B04,AFT RIVERSIDE RD
03239,B02,SHENTON WAY TER
21099,B01,JURONG PIER CHECK-POINT
93071,B01,CRESCENDO BLDG
46041,B37,OPP SRI ARASAKESARI TP
11209,B04,OPP PEIRCE RD
84351,B01,BEDOK CTRL PO
45039,B12,OPP YEW TEE IND EST
13199,B02,OPP PATERSON LODGE
59379,B03,OPP CHUNG CHENG HIGH SCH
20011,B16,BLK 506
66071,B04,OPP PUB RECREATION CLUB
52271,B05,JACKSON SQ
05519,B01,OPP MARITIME HSE
84321,B08,BLK 516
44459,B05,BLK 277
58449,NIL,SPORE SPORTS SCH
17011,B01,OPP VARSITY PK
21241,B01,BLK 220
NIL,B09,DEFU AVE 1
27379,B01,BLK 755
53219,B01,RAFFLES INST
21399,B05,OPP RIVER VALLEY HIGH SCH
20319,B04,BLK 24
